,total in seconds,datetime(utc),channels,VenusTriggerVenusName_isThreat,VenusTriggerLinkType_Uplink,VenusTrigger_RadioId,VenusTrigger_Frequency,VenusTrigger_OnAirStartTime,VenusTrigger_StopTime,VenusTrigger_Azimuth,VenusTrigger_Deviation,DJI OcuSync,DJI Mavic Mini,Cheerson Leopard 2,DJI Mavic Pro long,nan,DJI Mavic Pro short,Hubsan,Futaba FASST-7CH Var. 1,"AscTec Falcon 8 Downlink, DJI Mavic Mini",DJI Phantom 4 Pro+ V2.0 / Mavic Pro V2.0 2.4G,"DJI Mavic Mini, MJX R/C Technic",Udi R/C 818A,MJX R/C Technic,TT Robotix Ghost,Udi R/C,"DJI Mini, DJI Phantom 4 Pro/Mavic Pro, DJI Phantom 4/Mavic Pro","DJI Mavic Pro long, DJI Phantom 4 Pro+ V2.0 / Mavic Pro V2.0 2.4G",Spektrum DSMX downlink,Spektrum DSMX 12CH uplink,MJX X901,"DJI Mavic Pro long, DJI Phantom 4/Mavic Pro,DJI Phantom/Mavic Pro",AscTec Falcon 8 Downlink,VenusName NaN,ISM 2.4 GHz,ISM 5.8 GHz,FreqBand_Null
0,1601381457,2020-09-29 12:10:57,0.0,1.0,0,281474977710659,2466500000.0,1601391914335300.0,1601391960547936.0,50.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0
1,1601381457,2020-09-29 12:10:57,0.0,1.0,FHSS,191,2440000000.0,1601370481734079.0,1601391958860532.0,48.5,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0
2,1601381458,2020-09-29 12:10:58,0.0,0.0,FHSS,192,2440000000.0,1601390540422472.0,1601391959776345.0,330.9,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0
3,1601381459,2020-09-29 12:10:59,0.0,1.0,FHSS,197,2440000000.0,1601391908790885.0,1601391961271410.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0
4,1601381459,2020-09-29 12:10:59,0.0,1.0,FHSS,191,2440000000.0,1601370481734079.0,1601391960994972.0,55.1,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0
5,1601381459,2020-09-29 12:10:59,0.0,1.0,FHSS,191,2440000000.0,1601370481734079.0,1601391960652507.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0
6,1601381459,2020-09-29 12:10:59,0.0,0.0,FHSS,192,2440000000.0,1601390540422472.0,1601391961019175.0,55.1,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0
7,1601381461,2020-09-29 12:11:01,0.0,1.0,0,281474977710659,2466500000.0,1601391914335300.0,1601391965154630.0,52.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0
8,1601381467,2020-09-29 12:11:07,0.0,1.0,0,281474977710659,2466500000.0,1601391914335300.0,1601391970521874.0,51.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0
9,1601381471,2020-09-29 12:11:11,0.0,1.0,0,281474977710659,2466500000.0,1601391914335300.0,1601391975204636.0,51.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0
