total in seconds,datetime(utc),AlviraTracksTrackPosition_Latitude,AlviraTracksTrackPosition_Longitude,AlviraTracksTrackPosition_Altitude,AlviraTracksTrackVelocity_Azimuth,AlviraTracksTrackVelocity_Elevation,AlviraTracksTrackVelocity_Speed,AlviraTracksTrack_Reflection,AlviraTracksTrack_Score,AlviraTracksTrack_Alarm,AlviraSystemStatusSensorPosition_Latitude,AlviraSystemStatusSensorPosition_Longitude,AlviraSystemStatusSensorPosition_Altitude,AlviraSystemStatusSensorStatusBlankSector_Angle,AlviraSystemStatusSensorStatusBlankSector_Span,DRONE,NO_DRONE,SUSPECTED_DRONE
1601387029,2020-09-29 13:43:49,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1601387030,2020-09-29 13:43:50,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1601387031,2020-09-29 13:43:51,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1601387033,2020-09-29 13:43:53,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1601387034,2020-09-29 13:43:54,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1601387035,2020-09-29 13:43:55,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1601387037,2020-09-29 13:43:57,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1601387038,2020-09-29 13:43:58,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1601387039,2020-09-29 13:43:59,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1601387041,2020-09-29 13:44:01,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1601387042,2020-09-29 13:44:02,51.519539,5.858298,23.563767,43.025101,0.000000,3.767170,5.884801,0.672158,1,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
1601387043,2020-09-29 13:44:03,51.519600,5.858437,22.872039,46.539013,0.000000,7.563791,7.395926,0.737528,1,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
1601387044,2020-09-29 13:44:04,51.519675,5.858628,22.024375,51.447117,0.000000,10.504533,12.168258,0.789908,1,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
1601387046,2020-09-29 13:44:06,51.519744,5.858844,21.344295,59.891434,0.000000,11.813145,12.168715,0.831895,1,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
1601387047,2020-09-29 13:44:07,51.519879,5.859339,20.599867,65.890587,0.000000,14.218294,11.920158,0.851919,1,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
1601387048,2020-09-29 13:44:08,51.519951,5.859568,20.361039,63.943550,0.000000,14.065931,11.667833,0.881535,1,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
1601387050,2020-09-29 13:44:10,51.519995,5.859699,20.320137,63.298534,0.000000,10.999175,11.446085,0.905139,1,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
1601387051,2020-09-29 13:44:11,51.520056,5.859902,20.447182,64.167137,0.000000,11.792268,11.222514,0.924109,1,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
1601387052,2020-09-29 13:44:12,51.520118,5.860107,20.711764,64.204086,0.000000,12.086815,11.068448,0.939287,1,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
1601387054,2020-09-29 13:44:14,51.520175,5.860301,21.103010,64.497101,0.000000,11.791836,10.949132,0.951429,1,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
1601387055,2020-09-29 13:44:15,51.520241,5.860507,21.600316,63.500080,0.000000,12.099221,10.785145,0.961143,1,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
1601387056,2020-09-29 13:44:16,51.520304,5.860709,22.199865,63.166580,0.000000,12.144737,10.769972,0.968914,1,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
1601387057,2020-09-29 13:44:17,51.520375,5.860918,22.938703,62.224247,0.000000,12.505773,10.751156,0.975131,1,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
1601387059,2020-09-29 13:44:19,51.520437,5.861117,23.757596,62.643490,0.000000,12.138569,10.590319,0.980105,1,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
1601387060,2020-09-29 13:44:20,51.520498,5.861316,24.661393,63.644733,0.000000,12.022229,13.459253,0.984084,1,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
