,latitude,longitude,altitude(m),ultrasonicHeight(m),speed(mps),distance(m),max_altitude(m),max_ascent(m),max_speed(mps),max_distance(m),time(millisecond),datetime(utc),datetime(local),satellites,pressure(Pa),temperature(F),voltage(v),home_latitude,home_longitude,velocityX(mps),velocityY(mps),velocityZ(mps),pitch(deg),roll(deg),yaw(deg),powerlevel,isflying,istakingphoto,remainPowerPercent,remainLifePercent,currentCurrent,currentElectricity,currentVoltage,batteryTemperature,dischargeCount,flightmode,isMotorsOn,isTakingVideo,Rc_elevator,Rc_aileron,Rc_throttle,Rc_rudder,Rc_gyro,timestamp,Battery_Cell1,Battery_Cell2,Battery_Cell3,Battery_Cell4,Battery_Cell5,Battery_Cell6,Dronetype,AppVersion,Planename,FlyControllerSerialNumber,RemoteSerialNumber,BatterySerialNumber,CENTER_BATTERY.productDate,CENTER_BATTERY.serialNo,CENTER_BATTERY.fullCapacity,CENTER_BATTERY.productDateRaw,pitchRaw,rollRaw,yawRaw,gimbalPitchRaw,gimbalRollRaw,gimbalYawRaw,flyState,altitudeRaw,speedRaw,distanceRaw,velocityXRaw,velocityYRaw,velocityZRaw,data_reuse,App_Tip,App_Warning,downlinkSignalQuality,uplinkSignalQuality,transmissionChannel,rcModeSwitch,rcHome,rcPause,rcTransform,rcJoystickMode,appMode,FlyControllerSerialNumber_legacy,RemoteSerialNumber_legacy,BatterySerialNumber_legacy,Battery2SerialNumber,frontAvoidDist,backAvoidDist,isBrakingToAvoid
0,51.519485,5.858141,0.3,0.4,0.4,0.09,0.3,0.3,0.4,0.09,0,2020-09-29 13:43:48,2020-09-29 15:43:48.525,18,0,0,16.904,51.519486,5.85814,0.0,0.0,-0.4,0.0,1.1,112.7,0,1,0,91,100,-4239,3192,16904,3031.5,11,TakeOff,1,0,0,0,0,0,0,1601387028524,4278,4271,4263,4267,0,0,27,Litchi_iOS_2.8.0,djiuser_97p9AXasssb6-Mavic2,163CG9WR0A2UQL,1DUCG9WR024G86,0P2AG9H5340597,,0,3515,0,-0.0,11.0,1127.0,1.0,0.0,1137.0,11,3.0,4.0,0.88,0.0,0.0,-4.0,0,,,100,100,0,2,0,0,0,1,0,(null),(null),(null),(null),0.0,0.0,0
1,51.519485,5.858142,0.4,0.4,0.4,0.1,0.4,0.4,0.4,0.1,98,2020-09-29 13:43:48,2020-09-29 15:43:48.623,18,0,0,16.904,51.519486,5.85814,0.0,0.0,-0.4,0.0,1.1,112.6,0,1,0,91,100,-4239,3192,16904,3031.5,11,TakeOff,1,0,0,0,0,0,0,1601387028622,4278,4271,4263,4267,0,0,27,,,,,,,0,0,0,-0.0,11.0,1126.0,1.0,0.0,1137.0,11,4.0,4.0,1.04,0.0,0.0,-4.0,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0
2,51.519485,5.858141,0.4,0.4,0.4,0.1,0.4,0.4,0.4,0.1,198,2020-09-29 13:43:48,2020-09-29 15:43:48.723,18,0,0,16.904,51.519486,5.85814,0.0,0.0,-0.4,-0.2,1.0,112.7,0,1,0,91,100,-4239,3192,16904,3031.5,11,TakeOff,1,0,0,0,0,0,0,1601387028722,4278,4271,4263,4267,0,0,27,,,,,,,0,0,0,2.0,10.0,1127.0,1.0,0.0,1137.0,11,4.0,4.0,1.05,0.0,0.0,-4.0,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0
3,51.519485,5.858142,0.5,0.5,0.5,0.1,0.5,0.5,0.5,0.1,299,2020-09-29 13:43:48,2020-09-29 15:43:48.823,18,0,0,16.904,51.519486,5.85814,0.0,0.0,-0.5,-0.3,0.7,112.7,0,1,0,91,100,-4239,3192,16904,3031.5,11,TakeOff,1,0,0,0,0,0,0,1601387028823,4278,4271,4263,4267,0,0,27,,,,,,,0,0,0,3.0,7.0,1127.0,1.0,0.0,1137.0,11,5.0,5.0,0.97,0.0,0.0,-5.0,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0
4,51.519485,5.858141,0.5,0.6,0.5,0.1,0.5,0.5,0.5,0.1,414,2020-09-29 13:43:48,2020-09-29 15:43:48.939,18,0,0,16.904,51.519486,5.85814,0.0,0.0,-0.5,-0.5,0.5,112.7,0,1,0,91,100,-4239,3192,16904,3031.5,11,TakeOff,1,0,0,0,0,0,0,1601387028938,4278,4271,4263,4267,0,0,27,,,,,,,0,0,0,5.0,5.0,1127.0,1.0,0.0,1137.0,11,5.0,5.0,0.98,0.0,0.0,-5.0,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0
5,51.519485,5.858142,0.6,0.6,0.5,0.11,0.6,0.6,0.5,0.11,498,2020-09-29 13:43:49,2020-09-29 15:43:49.022,18,0,0,16.904,51.519486,5.85814,0.0,0.0,-0.5,-0.4,0.2,112.6,0,1,0,91,100,-4239,3192,16904,3031.5,11,TakeOff,1,0,0,0,0,0,0,1601387029022,4278,4271,4263,4267,0,0,27,,,,,,,0,0,0,4.0,2.0,1126.0,1.0,0.0,1137.0,11,6.0,5.0,1.06,0.0,0.0,-5.0,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0
6,51.519485,5.858142,0.6,0.7,0.5,0.11,0.6,0.6,0.5,0.11,647,2020-09-29 13:43:49,2020-09-29 15:43:49.172,18,0,0,16.904,51.519486,5.85814,0.0,0.0,-0.5,-0.3,0.5,112.6,0,1,0,91,100,-4239,3192,16904,3031.5,11,TakeOff,1,0,0,0,0,0,0,1601387029171,4278,4271,4263,4267,0,0,27,,,,,,,0,0,0,3.0,5.0,1126.0,1.0,0.0,1137.0,11,6.0,5.0,1.07,0.0,0.0,-5.0,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0
7,51.519485,5.858142,0.7,0.7,0.5,0.09,0.7,0.7,0.5,0.11,698,2020-09-29 13:43:49,2020-09-29 15:43:49.222,18,0,0,16.904,51.519486,5.85814,0.0,0.0,-0.5,-0.4,0.6,112.5,0,1,0,91,100,-4239,3192,16904,3031.5,11,TakeOff,1,0,0,0,0,0,0,1601387029222,4278,4271,4263,4267,0,0,27,,,,,,,0,0,0,4.0,6.0,1125.0,1.0,0.0,1137.0,11,7.0,5.0,0.85,0.0,0.0,-5.0,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0
8,51.519485,5.858142,0.7,0.8,0.5,0.09,0.7,0.7,0.5,0.11,801,2020-09-29 13:43:49,2020-09-29 15:43:49.325,18,0,0,16.904,51.519486,5.85814,0.0,0.0,-0.5,-0.3,0.7,112.5,0,1,0,91,100,-4239,3192,16904,3031.5,11,TakeOff,1,0,0,0,0,0,0,1601387029325,4278,4271,4263,4267,0,0,27,,,,,,,0,0,0,3.0,7.0,1125.0,1.0,0.0,1137.0,11,7.0,5.0,0.85,0.0,0.0,-5.0,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0
9,51.519486,5.858142,0.8,0.8,0.5,0.09,0.8,0.8,0.5,0.11,898,2020-09-29 13:43:49,2020-09-29 15:43:49.422,18,0,0,16.904,51.519486,5.85814,0.0,0.0,-0.5,-0.2,0.9,112.5,0,1,0,91,100,-4239,3192,16904,3031.5,11,TakeOff,1,0,0,0,0,0,0,1601387029422,4278,4271,4263,4267,0,0,27,,,,,,,0,0,0,2.0,9.0,1125.0,1.0,0.0,1137.0,11,8.0,5.0,0.88,0.0,0.0,-5.0,0,,,100,100,0,2,0,0,0,1,0,,,,,0.0,0.0,0
