total in seconds,datetime(utc),AlviraTracksTrackPosition_Latitude,AlviraTracksTrackPosition_Longitude,AlviraTracksTrackPosition_Altitude,AlviraTracksTrackVelocity_Azimuth,AlviraTracksTrackVelocity_Elevation,AlviraTracksTrackVelocity_Speed,AlviraTracksTrack_Reflection,AlviraTracksTrack_Score,AlviraTracksTrack_Alarm,AlviraSystemStatusSensorPosition_Latitude,AlviraSystemStatusSensorPosition_Longitude,AlviraSystemStatusSensorPosition_Altitude,AlviraSystemStatusSensorStatusBlankSector_Angle,AlviraSystemStatusSensorStatusBlankSector_Span,DRONE,NO_DRONE,SUSPECTED_DRONE,3,4
1601455123,2020-09-30 08:38:43,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1601455125,2020-09-30 08:38:45,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1601455126,2020-09-30 08:38:46,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1601455127,2020-09-30 08:38:47,51.519598,5.858455,23.100874,62.575733,0.000000,3.545758,6.580024,0.858928,1,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
1601455129,2020-09-30 08:38:49,51.519630,5.858640,22.765843,68.630478,0.000000,7.063438,9.141219,0.886936,1,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
1601455130,2020-09-30 08:38:50,51.519668,5.858817,22.447581,68.770920,0.000000,8.670355,9.846415,0.909533,1,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
1601455131,2020-09-30 08:38:51,51.519729,5.859003,21.995258,60.714588,0.000000,10.359857,10.585097,0.927589,1,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
1601455133,2020-09-30 08:38:53,51.519801,5.859141,21.456294,51.567982,0.000000,9.991331,10.400683,0.942056,1,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
1601455134,2020-09-30 08:38:54,51.519880,5.859309,20.973576,51.996723,0.000000,10.952153,10.289640,0.953641,1,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
1601455135,2020-09-30 08:38:55,51.520090,5.859749,20.255815,51.088085,0.000000,14.622067,10.097206,0.948488,1,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
