,total in seconds,datetime(utc),Diana_time,DianaSensorPosition_latitude_deg,DianaSensorPosition_longitude_deg,DianaSensorPosition_altitude_m,DianaTargets_band,DianaTarget_ID,DianaTargetsTargetSignal_snr_dB,DianaTargetsTargetSignal_bearing_deg,DianaTargetsTargetSignal_range_m,DianaTargetsTargetClassification_score,channels,DianaTarget_Aircraft,DianaTarget_Controller,DianaTarget_None,DianaClasssification_Unknown,DianaClasssification_DJI-MAVIC-PRO-PLATINUM,DianaClasssification_Wifi-Bluetooth,DianaClasssification_DJI-MAVIC-2-PRO,DianaClasssification_DJI-Phantom-4F,DianaClasssification_Parrot-ANAFI,DianaClasssification_DJI-Phantom-4E,DianaClasssification_SPEKTRUM-DX5e,DianaClasssification_SYMA-X8HW,DianaClasssification_DJI-MAVIC-AIR,DianaClasssification_None,DianaClasssification_VISUO-Zen
0,1601455123,2020-09-30 08:38:43,0.0,0.0,0.0,0.0,0.0,0.0,14.967859,97.146886,317.0,0.212155,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1601455123,2020-09-30 08:38:43,0.0,0.0,0.0,0.0,0.0,0.0,14.648048,97.146886,329.0,0.270346,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2,1601455123,2020-09-30 08:38:43,738064.4,51.519137,5.857951,31.0,1.0,0.0,15.315884,97.146886,305.0,0.19819,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3,1601455126,2020-09-30 08:38:46,738064.4,51.519137,5.857951,31.0,2.0,0.0,10.213391,21.694284,549.0,0.282527,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
4,1601455126,2020-09-30 08:38:46,0.0,0.0,0.0,0.0,0.0,0.0,10.147626,21.694284,553.0,0.284246,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
5,1601455126,2020-09-30 08:38:46,0.0,0.0,0.0,0.0,0.0,0.0,9.394742,21.694284,603.0,0.2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
6,1601455129,2020-09-30 08:38:49,738064.4,51.519137,5.857951,31.0,3.0,16001.0,29.20463,27.849466,61.0,0.6,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,1601455129,2020-09-30 08:38:49,0.0,0.0,0.0,0.0,0.0,0.0,18.13528,27.849466,220.0,0.266667,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
8,1601455129,2020-09-30 08:38:49,0.0,0.0,0.0,0.0,0.0,0.0,9.878533,27.849466,570.0,0.270346,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
9,1601455132,2020-09-30 08:38:52,738064.4,51.519137,5.857951,31.0,1.0,0.0,14.782635999999998,98.580631,324.0,0.270346,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
10,1601455132,2020-09-30 08:38:52,0.0,0.0,0.0,0.0,0.0,0.0,13.628988,98.580631,370.0,0.222104,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
11,1601455148,2020-09-30 08:39:08,0.0,0.0,0.0,0.0,0.0,0.0,6.73682,45.699081,819.0,0.203063,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
12,1601455148,2020-09-30 08:39:08,0.0,0.0,0.0,0.0,0.0,0.0,13.715487,45.699081,367.0,0.396171,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
