,AlviraTracksTrackPosition_Latitude,AlviraTracksTrackPosition_Longitude,AlviraTracksTrackPosition_Altitude,AlviraTracksTrackVelocity_Azimuth,AlviraTracksTrackVelocity_Elevation,AlviraTracksTrackVelocity_Speed,DRONE,NO_DRONE,SUSPECTED_DRONE,AlviraTracksTrack_Score,AlviraTracksTrack_Reflection,LABEL,datetime(utc)
6,51.519346,5.857803,26.260755,186.373260,0.000000,1.285448,1.000000,0.000000,0.000000,0.964247,3.309973,1,2020-09-29 13:55:27
8,51.519360,5.857795,26.130099,307.675903,0.000000,0.307659,1.000000,0.000000,0.000000,0.977090,3.472024,1,2020-09-29 13:55:30
9,51.519358,5.857801,26.138833,155.265381,0.000000,0.080082,1.000000,0.000000,0.000000,0.981672,3.467466,1,2020-09-29 13:55:31
11,51.519354,5.857835,26.127516,121.693512,0.000000,0.590565,1.000000,0.000000,0.000000,0.988267,3.505667,1,2020-09-29 13:55:34
12,51.519359,5.857814,26.111788,299.495697,0.000000,0.378794,1.000000,0.000000,0.000000,0.990609,3.561462,1,2020-09-29 13:55:35
16,51.519307,5.857991,26.374565,123.145309,0.000000,2.797754,1.000000,0.000000,0.000000,0.996125,4.544754,1,2020-09-29 13:55:40
19,51.519271,5.858066,26.660781,134.901825,0.000000,2.025950,1.000000,0.000000,0.000000,0.997447,6.601646,1,2020-09-29 13:55:43
20,51.519281,5.857980,26.669881,280.279327,0.000000,1.641935,1.000000,0.000000,0.000000,0.997780,6.781301,1,2020-09-29 13:55:44
21,51.519290,5.857909,26.667070,282.331024,0.000000,2.769447,1.000000,0.000000,0.000000,0.998213,6.831826,1,2020-09-29 13:55:46
22,51.519332,5.857818,26.390606,312.904785,0.000000,4.746843,1.000000,0.000000,0.000000,0.998443,6.755256,1,2020-09-29 13:55:47
23,51.519338,5.857770,26.400980,286.245605,0.000000,3.416814,1.000000,0.000000,0.000000,0.998629,6.800294,1,2020-09-29 13:55:48
24,51.519323,5.857726,26.611097,250.904694,0.000000,3.243455,1.000000,0.000000,0.000000,0.998853,6.718191,1,2020-09-29 13:55:50
25,51.519304,5.857676,26.921297,241.607819,0.000000,3.268675,1.000000,0.000000,0.000000,0.999080,6.766124,1,2020-09-29 13:55:51
28,51.519443,5.857729,25.385810,330.226929,0.000000,2.438507,1.000000,0.000000,0.000000,0.996179,6.518495,1,2020-09-29 13:55:55
29,51.519461,5.857719,25.240563,330.675659,0.000000,1.942717,1.000000,0.000000,0.000000,0.996938,6.461444,1,2020-09-29 13:55:56
30,51.519472,5.857723,25.119327,339.289734,0.000000,1.387587,0.000000,1.000000,0.000000,0.997546,6.435051,1,2020-09-29 13:55:57
31,51.519487,5.857703,25.007317,328.518585,0.000000,1.443924,0.000000,1.000000,0.000000,0.998036,6.336519,1,2020-09-29 13:55:59
32,51.519487,5.857703,25.007317,328.518585,0.000000,1.443924,0.000000,1.000000,0.000000,0.998036,6.336519,1,2020-09-29 13:56:00
33,51.519487,5.857703,25.007317,328.518585,0.000000,1.443924,0.000000,1.000000,0.000000,0.998036,6.336519,1,2020-09-29 13:56:01
34,51.519515,5.857582,24.955348,287.873718,0.000000,2.097125,0.000000,1.000000,0.000000,0.950373,6.265609,1,2020-09-29 13:56:03
35,51.519515,5.857582,24.955348,287.873718,0.000000,2.097125,0.000000,1.000000,0.000000,0.950373,6.265609,1,2020-09-29 13:56:04
36,51.519510,5.857505,25.171194,265.576843,0.000000,2.131766,0.000000,1.000000,0.000000,0.945019,6.175982,1,2020-09-29 13:56:05
37,51.519510,5.857505,25.171194,265.576843,0.000000,2.131766,0.000000,1.000000,0.000000,0.945019,6.175982,1,2020-09-29 13:56:07
38,51.519530,5.857453,25.143619,300.912323,0.000000,1.732337,0.000000,1.000000,0.000000,0.940680,6.113975,1,2020-09-29 13:56:08
39,51.518599,5.855802,38.949213,231.831268,0.000000,12.858290,1.000000,0.000000,0.000000,0.672258,21.877770,1,2020-09-29 13:56:08
40,51.519530,5.857453,25.143619,300.912323,0.000000,1.732337,0.000000,1.000000,0.000000,0.940680,6.113975,1,2020-09-29 13:56:09
41,51.518497,5.855618,40.604804,230.054825,0.000000,13.164433,1.000000,0.000000,0.000000,0.737806,22.090644,1,2020-09-29 13:56:09
42,51.519485,5.857511,25.390575,179.658081,0.000000,1.216423,0.000000,1.000000,0.000000,0.937177,6.106305,1,2020-09-29 13:56:10
43,51.518398,5.855423,42.261822,230.352509,0.000000,13.331646,1.000000,0.000000,0.000000,0.790245,22.151832,1,2020-09-29 13:56:10
44,51.519485,5.857511,25.390575,179.658081,0.000000,1.216423,0.000000,1.000000,0.000000,0.937177,6.106305,1,2020-09-29 13:56:12
45,51.518301,5.855227,43.874514,230.846054,0.000000,13.296275,1.000000,0.000000,0.000000,0.832196,22.645916,1,2020-09-29 13:56:12
47,51.518215,5.855017,45.436616,233.258209,0.000000,13.197737,1.000000,0.000000,0.000000,0.865756,22.767686,1,2020-09-29 13:56:13
49,51.518130,5.854810,46.977819,234.577164,0.000000,13.087034,1.000000,0.000000,0.000000,0.892604,23.868342,1,2020-09-29 13:56:14
51,51.518046,5.854609,48.486393,235.303238,0.000000,12.901489,1.000000,0.000000,0.000000,0.914083,24.903909,1,2020-09-29 13:56:16
53,51.517961,5.854414,49.965578,235.295258,0.000000,12.764522,1.000000,0.000000,0.000000,0.931267,25.375714,1,2020-09-29 13:56:17
55,51.517882,5.854212,51.456645,236.231613,0.000000,12.643622,1.000000,0.000000,0.000000,0.945013,25.603941,1,2020-09-29 13:56:18
57,51.517799,5.854015,52.995011,236.057800,0.000000,12.678495,1.000000,0.000000,0.000000,0.956011,25.811046,1,2020-09-29 13:56:20
59,51.517707,5.853831,54.547206,234.551331,0.000000,12.676750,1.000000,0.000000,0.000000,0.964808,25.799813,1,2020-09-29 13:56:21
61,51.517617,5.853641,56.094403,233.936417,0.000000,12.699154,1.000000,0.000000,0.000000,0.971847,25.619567,1,2020-09-29 13:56:22
62,51.517523,5.853467,57.584274,232.609787,0.000000,12.508479,1.000000,0.000000,0.000000,0.977477,25.416904,1,2020-09-29 13:56:23
63,51.517415,5.853316,59.053394,228.806061,0.000000,12.412520,0.000000,1.000000,0.000000,0.981975,25.217032,1,2020-09-29 13:56:25
64,51.517415,5.853316,59.053394,228.806061,0.000000,12.412520,0.000000,1.000000,0.000000,0.981975,25.217032,1,2020-09-29 13:56:26
65,51.517415,5.853316,59.053394,228.806061,0.000000,12.412520,0.000000,1.000000,0.000000,0.981975,25.217032,1,2020-09-29 13:56:27
66,51.517415,5.853316,59.053394,228.806061,0.000000,12.412520,0.000000,1.000000,0.000000,0.981975,25.217032,1,2020-09-29 13:56:29
67,51.517415,5.853316,59.053394,228.806061,0.000000,12.412520,0.000000,1.000000,0.000000,0.981975,25.217032,1,2020-09-29 13:56:30
68,51.517415,5.853316,59.053394,228.806061,0.000000,12.412520,0.000000,1.000000,0.000000,0.981975,25.217032,1,2020-09-29 13:56:31
