,AlviraTracksTrackPosition_Latitude,AlviraTracksTrackPosition_Longitude,AlviraTracksTrackPosition_Altitude,AlviraTracksTrackVelocity_Azimuth,AlviraTracksTrackVelocity_Elevation,AlviraTracksTrackVelocity_Speed,DRONE,NO_DRONE,SUSPECTED_DRONE,AlviraTracksTrack_Score,AlviraTracksTrack_Reflection,LABEL,datetime(utc)
104,51.521619,5.866390,57.141913,241.553711,0.000000,8.650611,1.000000,0.000000,0.000000,0.996612,26.449099,0,2020-09-29 12:01:38
105,51.521570,5.866248,56.101780,241.289383,0.000000,8.603934,1.000000,0.000000,0.000000,0.997290,26.369522,0,2020-09-29 12:01:39
107,51.521522,5.866108,55.069674,241.182327,0.000000,8.535286,1.000000,0.000000,0.000000,0.997832,26.244066,0,2020-09-29 12:01:41
108,51.521486,5.865965,54.067577,243.732086,0.000000,8.402636,1.000000,0.000000,0.000000,0.998265,26.199285,0,2020-09-29 12:01:42
109,51.521436,5.865823,53.107876,242.640778,0.000000,8.473783,1.000000,0.000000,0.000000,0.998612,26.131614,0,2020-09-29 12:01:43
110,51.521381,5.865674,52.129474,241.890183,0.000000,8.792423,1.000000,0.000000,0.000000,0.998889,26.059968,0,2020-09-29 12:01:45
111,51.521336,5.865525,51.153441,242.717270,0.000000,8.840598,1.000000,0.000000,0.000000,0.999111,26.075315,0,2020-09-29 12:01:46
112,51.521292,5.865370,50.094166,244.141357,0.000000,9.073158,1.000000,0.000000,0.000000,0.999288,26.252696,0,2020-09-29 12:01:47
113,51.521245,5.865216,49.036639,244.039658,0.000000,9.051396,1.000000,0.000000,0.000000,0.999431,26.250298,0,2020-09-29 12:01:49
114,51.521214,5.865072,48.068006,245.663193,0.000000,8.504428,1.000000,0.000000,0.000000,0.999543,26.178715,0,2020-09-29 12:01:50
115,51.521170,5.864924,47.084265,245.164200,0.000000,8.605569,1.000000,0.000000,0.000000,0.999634,26.090367,0,2020-09-29 12:01:51
116,51.521130,5.864771,46.059790,246.366821,0.000000,8.813264,1.000000,0.000000,0.000000,0.999707,26.004473,0,2020-09-29 12:01:52
117,51.521067,5.864614,45.034761,242.995773,0.000000,9.230736,1.000000,0.000000,0.000000,0.999765,25.971767,0,2020-09-29 12:01:54
118,51.521015,5.864464,44.068668,241.766434,0.000000,9.089090,1.000000,0.000000,0.000000,0.999812,26.091608,0,2020-09-29 12:01:55
119,51.520960,5.864311,43.090667,241.265411,0.000000,9.205236,1.000000,0.000000,0.000000,0.999849,26.071795,0,2020-09-29 12:01:56
120,51.520910,5.864156,42.113855,241.793259,0.000000,9.243651,1.000000,0.000000,0.000000,0.999879,26.096973,0,2020-09-29 12:01:58
121,51.520853,5.863995,41.121184,241.772919,0.000000,9.511047,1.000000,0.000000,0.000000,0.999903,26.073235,0,2020-09-29 12:01:59
122,51.520799,5.863832,40.116156,242.163712,0.000000,9.681985,1.000000,0.000000,0.000000,0.999923,26.031448,0,2020-09-29 12:02:00
123,51.520733,5.863667,39.133749,240.377106,0.000000,9.884964,1.000000,0.000000,0.000000,0.999938,25.953409,0,2020-09-29 12:02:02
124,51.520681,5.863511,38.217427,240.501434,0.000000,9.685912,1.000000,0.000000,0.000000,0.999950,25.902618,0,2020-09-29 12:02:03
125,51.520641,5.863357,37.312941,242.494583,0.000000,9.403773,1.000000,0.000000,0.000000,0.999959,25.886474,0,2020-09-29 12:02:04
126,51.520598,5.863204,36.427345,243.289871,0.000000,9.195743,1.000000,0.000000,0.000000,0.999967,25.863979,0,2020-09-29 12:02:06
127,51.520556,5.863051,35.516884,244.259216,0.000000,9.065357,1.000000,0.000000,0.000000,0.999973,25.795710,0,2020-09-29 12:02:07
128,51.520529,5.862907,34.653419,246.953156,0.000000,8.596056,1.000000,0.000000,0.000000,0.999977,25.716782,0,2020-09-29 12:02:08
129,51.520529,5.862907,34.653419,246.953156,0.000000,8.596056,1.000000,0.000000,0.000000,0.999977,25.716782,0,2020-09-29 12:02:09
130,51.520414,5.862575,32.982683,243.820969,0.000000,9.490927,0.000000,1.000000,0.000000,0.984216,25.639939,0,2020-09-29 12:02:11
131,51.520357,5.862412,32.143657,242.348282,0.000000,9.549443,0.000000,1.000000,0.000000,0.987372,25.561856,0,2020-09-29 12:02:12
132,51.520357,5.862412,32.143657,242.348282,0.000000,9.549443,0.000000,1.000000,0.000000,0.987372,25.561856,0,2020-09-29 12:02:13
133,51.520230,5.862083,30.746403,240.062439,0.000000,9.853659,0.000000,1.000000,0.000000,0.974128,25.483794,0,2020-09-29 12:02:15
134,51.520176,5.861920,29.944371,241.222702,0.000000,9.864279,0.000000,1.000000,0.000000,0.979302,25.417698,0,2020-09-29 12:02:16
135,51.520124,5.861748,29.184974,242.874863,0.000000,10.011468,0.000000,1.000000,0.000000,0.983441,25.342995,0,2020-09-29 12:02:17
136,51.520086,5.861605,28.550787,242.947342,0.000000,9.243859,0.000000,1.000000,0.000000,0.986743,25.269060,0,2020-09-29 12:02:19
137,51.520060,5.861485,28.020892,243.997406,0.000000,8.037785,0.000000,1.000000,0.000000,0.989352,25.196220,0,2020-09-29 12:02:20
138,51.520018,5.861354,27.560465,242.637482,0.000000,7.818794,0.000000,1.000000,0.000000,0.991480,25.124650,0,2020-09-29 12:02:21
139,51.519992,5.861421,27.999655,176.447067,0.000000,4.689900,0.000000,1.000000,0.000000,0.984403,25.054107,0,2020-09-29 12:02:22
172,51.518528,5.856238,38.205065,233.842850,0.000000,7.660993,1.000000,0.000000,0.000000,0.665618,18.425259,0,2020-09-29 12:03:04
173,51.518470,5.856135,39.127909,231.489380,0.000000,7.502706,1.000000,0.000000,0.000000,0.732494,19.290658,0,2020-09-29 12:03:06
174,51.518414,5.856021,40.059069,231.151550,0.000000,7.688780,1.000000,0.000000,0.000000,0.785995,19.461768,0,2020-09-29 12:03:07
175,51.518354,5.855905,41.005708,230.567093,0.000000,7.955149,1.000000,0.000000,0.000000,0.828796,20.652954,0,2020-09-29 12:03:08
176,51.518302,5.855768,41.934777,234.015930,0.000000,8.104609,1.000000,0.000000,0.000000,0.863037,21.044645,0,2020-09-29 12:03:10
177,51.518252,5.855638,42.839507,235.999939,0.000000,8.031693,1.000000,0.000000,0.000000,0.890429,21.848434,0,2020-09-29 12:03:11
178,51.518205,5.855519,43.684076,236.970535,0.000000,7.676667,1.000000,0.000000,0.000000,0.912343,22.505955,0,2020-09-29 12:03:12
179,51.518162,5.855391,44.509593,239.031372,0.000000,7.561464,1.000000,0.000000,0.000000,0.929874,22.581589,0,2020-09-29 12:03:13
180,51.518119,5.855255,45.387360,240.113937,0.000000,7.799771,1.000000,0.000000,0.000000,0.943899,22.715647,0,2020-09-29 12:03:15
181,51.518071,5.855116,46.315739,239.983170,0.000000,8.175463,1.000000,0.000000,0.000000,0.955119,22.750479,0,2020-09-29 12:03:16
182,51.518026,5.854973,47.264811,240.769043,0.000000,8.311627,1.000000,0.000000,0.000000,0.964095,22.827247,0,2020-09-29 12:03:17
183,51.517978,5.854832,48.211770,240.888321,0.000000,8.411457,1.000000,0.000000,0.000000,0.971276,22.877604,0,2020-09-29 12:03:19
184,51.517934,5.854686,49.139199,241.874283,0.000000,8.430314,1.000000,0.000000,0.000000,0.977021,23.093486,0,2020-09-29 12:03:20
185,51.517887,5.854546,50.104114,241.820389,0.000000,8.439549,1.000000,0.000000,0.000000,0.981617,23.167894,0,2020-09-29 12:03:21
186,51.517834,5.854414,51.088063,240.248825,0.000000,8.463562,1.000000,0.000000,0.000000,0.985293,23.100845,0,2020-09-29 12:03:23
187,51.517786,5.854270,52.096839,240.716431,0.000000,8.576960,1.000000,0.000000,0.000000,0.988234,23.112266,0,2020-09-29 12:03:24
188,51.517744,5.854114,53.102164,242.786362,0.000000,8.685847,1.000000,0.000000,0.000000,0.990587,23.021882,0,2020-09-29 12:03:25
189,51.517706,5.853950,54.092518,244.777298,0.000000,8.858617,1.000000,0.000000,0.000000,0.992469,22.919211,0,2020-09-29 12:03:27
