,Unnamed: 0_x_x,AlviraTracksTrackPosition_Latitude,AlviraTracksTrackPosition_Longitude,AlviraTracksTrackPosition_Altitude,AlviraTracksTrackVelocity_Azimuth,AlviraTracksTrackVelocity_Elevation,AlviraTracksTrackVelocity_Speed,DRONE,NO_DRONE,SUSPECTED_DRONE,AlviraTracksTrack_Score,AlviraTracksTrack_Reflection,LABEL,datetime(utc),Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0_y_x,total in seconds,channels,ArcusPotentialDronPlot_id,ArcusPotentialDronPlot_rcs,ArcusPotentiaDronPlotPlotPosition_altitude,ArcusPotentialDronPlotsPlotPosition_latitude,ArcusPotentialDronPlotsPlotPosition_longitude,ArcusTracksTrack_id,ArcusTracksTrackPosition_Latitude,ArcusTracksTrackPosition_Longitude,ArcusTracksTrackPosition_Altitude,ArcusTracksTrackVelocity_Azimuth,ArcusTracksTrackVelocity_Elevation,ArcusTracksTrackVelocity_Speed,ArcusTracksTrack_Reflection,ArcusTracksTrack_Score,ArcusSystemStatusSensorPosition_Latitude,ArcusSystemStatusSensorPosition_Longitude,ArcusSystemStatusSensorPosition_Altitude,ArcusSystemStatusSensorStatusOrientetation_Azimuth,ArcusSystemStatusSensorStatusOrientetation_Elevation,ArcusSystemStatusSensorStatusBlankSector_Angle,ArcusSystemStatusSensorStatusBlankSector_Span,ArcusSystemStatusSensorStatusProcessing_Sensitivity,Arcus_OperationalState_NaN,Arcus_OperationalState_Idle,Arcus_OperationalState_Operational,Arcus_Classification_NaN,Arcus_Classification_UNKNOWN,Arcus_Classification_VEHICLE,Arcus_Classification_OTHER,Arcus_Classification_DRONE,Arcus_Classification_SUSPECTED_DRONE,Arcus_Classification_HELICOPTER,Arcus_Alarm_NaN,Arcus_Alarm_FALSE,Arcus_Alarm_TRUE,Unnamed: 0_x_y,total in seconds_x,Diana_time,DianaSensorPosition_latitude_deg,DianaSensorPosition_longitude_deg,DianaSensorPosition_altitude_m,DianaTargets_band,DianaTarget_ID,DianaTargetsTargetSignal_snr_dB,DianaTargetsTargetSignal_bearing_deg,DianaTargetsTargetSignal_range_m,DianaTargetsTargetClassification_score,channels_x,DianaTarget_Aircraft,DianaTarget_Controller,DianaTarget_None,DianaClasssification_Unknown,DianaClasssification_DJI-MAVIC-PRO-PLATINUM,DianaClasssification_Wifi-Bluetooth,DianaClasssification_DJI-MAVIC-2-PRO,DianaClasssification_DJI-Phantom-4F,DianaClasssification_Parrot-ANAFI,DianaClasssification_DJI-Phantom-4E,DianaClasssification_SPEKTRUM-DX5e,DianaClasssification_SYMA-X8HW,DianaClasssification_DJI-MAVIC-AIR,DianaClasssification_None,DianaClasssification_VISUO-Zen,Unnamed: 0_y_y,total in seconds_y,channels_y,VenusTriggerVenusName_isThreat,VenusTriggerLinkType_Uplink,VenusTrigger_RadioId,VenusTrigger_Frequency,VenusTrigger_OnAirStartTime,VenusTrigger_StopTime,VenusTrigger_Azimuth,VenusTrigger_Deviation,DJI OcuSync,DJI Mavic Mini,Cheerson Leopard 2,DJI Mavic Pro long,nan,DJI Mavic Pro short,Hubsan,Futaba FASST-7CH Var. 1,"AscTec Falcon 8 Downlink, DJI Mavic Mini",DJI Phantom 4 Pro+ V2.0 / Mavic Pro V2.0 2.4G,"DJI Mavic Mini, MJX R/C Technic",Udi R/C 818A,MJX R/C Technic,TT Robotix Ghost,Udi R/C,"DJI Mini, DJI Phantom 4 Pro/Mavic Pro, DJI Phantom 4/Mavic Pro","DJI Mavic Pro long, DJI Phantom 4 Pro+ V2.0 / Mavic Pro V2.0 2.4G",Spektrum DSMX downlink,Spektrum DSMX 12CH uplink,MJX X901,"DJI Mavic Pro long, DJI Phantom 4/Mavic Pro,DJI Phantom/Mavic Pro",AscTec Falcon 8 Downlink,VenusName NaN,ISM 2.4 GHz,ISM 5.8 GHz,FreqBand_Null,Unnamed: 0,latitude,longitude,altitude(m),ultrasonicHeight(m),speed(mps),distance(m),max_altitude(m),max_ascent(m),max_speed(mps),max_distance(m),time(millisecond),datetime(local),satellites,pressure(Pa),temperature(F),voltage(v),home_latitude,home_longitude,velocityX(mps),velocityY(mps),velocityZ(mps),pitch(deg),roll(deg),yaw(deg),powerlevel,isflying,istakingphoto,remainPowerPercent,remainLifePercent,currentCurrent,currentElectricity,currentVoltage,batteryTemperature,dischargeCount,flightmode,isMotorsOn,isTakingVideo,Rc_elevator,Rc_aileron,Rc_throttle,Rc_rudder,Rc_gyro,timestamp,Battery_Cell1,Battery_Cell2,Battery_Cell3,Battery_Cell4,Battery_Cell5,Battery_Cell6,Dronetype,AppVersion,Planename,FlyControllerSerialNumber,RemoteSerialNumber,BatterySerialNumber,CENTER_BATTERY.productDate,CENTER_BATTERY.serialNo,CENTER_BATTERY.fullCapacity,CENTER_BATTERY.productDateRaw,pitchRaw,rollRaw,yawRaw,gimbalPitchRaw,gimbalRollRaw,gimbalYawRaw,flyState,altitudeRaw,speedRaw,distanceRaw,velocityXRaw,velocityYRaw,velocityZRaw,data_reuse,App_Tip,App_Warning,downlinkSignalQuality,uplinkSignalQuality,transmissionChannel,rcModeSwitch,rcHome,rcPause,rcTransform,rcJoystickMode,appMode,FlyControllerSerialNumber_legacy,RemoteSerialNumber_legacy,BatterySerialNumber_legacy,Battery2SerialNumber,frontAvoidDist,backAvoidDist,isBrakingToAvoid
108,352.000000,51.520021,5.859955,20.981287,245.530502,0.000000,4.079803,0.000000,1.000000,0.000000,0.979408,24.096163,1.000000,2020-09-29 12:18:23,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,343.000000,1601381903.000000,0.000000,1.000000,FHSS,208.000000,2440000000.000000,1601391908790885.000000,1601392404516651.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,4473,51.520041,5.859800,39.900000,0.000000,4.440000,139.810000,40.100000,40.100000,17.280000,991.140000,447275,2020-09-29 14:18:23.923,18,0,0,11.698000,51.519506,5.857977,-2.300000,-3.800000,0.000000,-3.000000,7.300000,156.800000,0,1,0,71,100,-7420,2651,11698,3051.500000,8,WP,1,0,0,0,0,0,0,1601381903922,3893,3892,3881,0,0,0,13,0,0,0,0,0,0.000000,0,0,0,30.000000,73.000000,1568.000000,-87.000000,0.000000,1587.000000,14,399.000000,44.420000,1398.140000,-23.000000,-38.000000,0.000000,0,0.000000,0.000000,100,100,0,1,0,0,0,1,0,0,0,0,0,0.000000,0.000000,0
11,95.000000,51.520985,5.860004,14.910776,243.944427,0.000000,17.597061,0.000000,1.000000,0.000000,0.999850,40.334169,1.000000,2020-09-29 12:12:59,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,73.000000,1601381579.000000,0.000000,1.000000,0,281474977710659.000000,2410500000.000000,1601391914335300.000000,1601392082547187.000000,44.000000,6.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1233,51.519516,5.857974,3.300000,3.800000,1.600000,1.100000,5.200000,5.200000,3.800000,1.350000,123265,2020-09-29 14:12:59.913,18,0,0,12.120000,51.519506,5.857977,0.000000,0.000000,-1.600000,2.400000,-0.300000,-146.000000,0,1,0,92,100,-7402,3414,12120,2981.500000,8,WP,1,0,0,0,0,0,0,1601381579912,4014,4010,4011,0,0,0,13,0,0,0,0,0,0.000000,0,0,0,-24.000000,-3.000000,-1460.000000,0.000000,0.000000,-1459.000000,14,33.000000,16.000000,11.020000,0.000000,0.000000,-16.000000,0,0.000000,0.000000,100,100,0,1,0,0,0,1,0,0,0,0,0,0.000000,0.000000,0
388,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2020-09-29 12:21:24,30.000000,10527.500000,10527.500000,1601382084.000000,0.000000,139.897059,-0.236194,2.508625,0.034733,-0.708965,0.000000,51.521948,5.867761,84.002345,149.285399,-4.372751,8.472806,-30.661147,0.512642,0.378834,0.043166,0.220588,-1.144247,0.000000,0.028875,0.017325,0.735294,0.992647,0.000000,0.007353,0.029412,0.551471,0.007353,0.411765,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,479.000000,1601382084.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.447651,10.636276,847.000000,0.226102,2.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6282,51.516272,5.849716,40.000000,0.000000,4.390000,676.990000,40.100000,40.100000,17.280000,991.140000,628276,2020-09-29 14:21:24.923,18,0,0,11.613000,51.519506,5.857977,-2.200000,-3.800000,0.000000,8.200000,5.600000,81.300000,0,1,0,62,100,-6874,2281,11613,3061.500000,8,WP,1,0,0,0,0,0,0,1601382084923,3809,3808,3795,0,0,0,13,0,0,0,0,0,0.000000,0,0,0,-82.000000,56.000000,813.000000,-87.000000,0.000000,816.000000,14,400.000000,43.910000,6769.860000,-22.000000,-38.000000,0.000000,0,0.000000,0.000000,75,75,0,1,0,0,0,1,0,0,0,0,0,0.000000,0.000000,0
29,311.000000,51.520972,5.862749,32.701953,241.361923,0.000000,4.537011,0.000000,1.000000,0.000000,0.999995,25.981479,1.000000,2020-09-29 12:17:33,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,278.000000,1601381853.000000,738063.600000,51.519137,5.857951,31.000000,1.000000,1.000000,23.162165,56.626254,123.000000,0.366667,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3973,51.521081,5.862588,39.900000,0.000000,4.440000,364.840000,40.100000,40.100000,17.280000,991.140000,397280,2020-09-29 14:17:33.928,18,0,0,11.782000,51.519506,5.857977,-2.300000,-3.800000,0.000000,-3.200000,7.900000,178.200000,0,1,0,74,100,-7390,2774,11782,3041.500000,8,WP,1,0,0,0,0,0,0,1601381853927,3916,3914,3905,0,0,0,13,0,0,0,0,0,0.000000,0,0,0,32.000000,79.000000,1782.000000,-87.000000,0.000000,-1799.000000,14,399.000000,44.420000,3648.390000,-23.000000,-38.000000,0.000000,0,0.000000,0.000000,100,100,0,1,0,0,0,1,0,0,0,0,0,0.000000,0.000000,0
319,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2020-09-29 12:19:42,7.000000,103.000000,103.000000,1601381982.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,51.520444,5.864869,6.803405,12.233667,0.510688,2.838366,1.003632,0.045217,10.304298,1.174118,6.000000,-31.123526,0.000000,0.785398,0.471239,3.600000,0.800000,0.000000,0.200000,0.800000,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,387.000000,1601381982.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17.682715,61.100420,232.000000,0.185796,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,453.000000,1601381982.000000,0.000000,0.000000,FHSS,210.000000,2440000000.000000,1601391964946692.000000,1601392483275993.000000,228.200000,0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,5263,51.518395,5.855400,39.800000,0.000000,4.390000,217.470000,40.100000,40.100000,17.280000,991.140000,526274,2020-09-29 14:19:42.922,18,0,0,11.761000,51.519506,5.857977,-2.200000,-3.800000,0.000000,1.700000,11.600000,123.900000,0,1,0,67,100,-7606,2487,11761,3061.500000,8,WP,1,0,0,0,0,0,0,1601381982921,3859,3860,3848,0,0,0,13,0,0,0,0,0,0.000000,0,0,0,-17.000000,116.000000,1239.000000,-87.000000,0.000000,1247.000000,14,398.000000,43.910000,2174.700000,-22.000000,-38.000000,0.000000,0,0.000000,0.000000,100,100,0,1,0,0,0,1,0,0,0,0,0,0.000000,0.000000,0
291,440.000000,51.518065,5.853966,51.116047,245.226624,0.000000,4.627876,0.000000,1.000000,0.000000,0.999995,18.159261,1.000000,2020-09-29 12:20:15,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,486.000000,1601382015.000000,0.000000,1.000000,FHSS,209.000000,2440000000.000000,1601391908794885.000000,1601392516095556.000000,229.800000,0.400000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,5593,51.517708,5.853559,40.000000,0.000000,4.360000,366.220000,40.100000,40.100000,17.280000,991.140000,559280,2020-09-29 14:20:15.927,18,0,0,11.677000,51.519506,5.857977,-2.300000,-3.700000,0.000000,4.200000,7.600000,110.100000,0,1,0,65,100,-6616,2422,11677,3061.500000,8,WP,1,0,0,0,0,0,0,1601382015927,3844,3843,3831,0,0,0,13,0,0,0,0,0,0.000000,0,0,0,-42.000000,76.000000,1101.000000,-87.000000,0.000000,1106.000000,14,400.000000,43.570000,3662.190000,-23.000000,-37.000000,0.000000,0,0.000000,0.000000,100,100,0,1,0,0,0,1,0,0,0,0,0,0.000000,0.000000,0
258,415.000000,51.518527,5.855279,41.797508,236.684692,0.000000,4.262845,1.000000,0.000000,0.000000,0.999865,16.034868,1.000000,2020-09-29 12:19:43,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,456.000000,1601381983.000000,0.000000,1.000000,FHSS,208.000000,2440000000.000000,1601391908790885.000000,1601392484536745.000000,228.400000,0.700000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,5273,51.518375,5.855344,39.900000,0.000000,4.440000,221.960000,40.100000,40.100000,17.280000,991.140000,527276,2020-09-29 14:19:43.924,18,0,0,11.571000,51.519506,5.857977,-2.300000,-3.800000,0.000000,1.200000,11.100000,123.100000,0,1,0,67,100,-8050,2483,11571,3061.500000,8,WP,1,0,0,0,0,0,0,1601381983923,3859,3860,3848,0,0,0,13,0,0,0,0,0,0.000000,0,0,0,-12.000000,111.000000,1231.000000,-87.000000,0.000000,1244.000000,14,399.000000,44.420000,2219.630000,-23.000000,-38.000000,0.000000,0,0.000000,0.000000,100,100,0,1,0,0,0,1,0,0,0,0,0,0.000000,0.000000,0
49,325.000000,51.520642,5.861835,27.423006,236.986023,0.000000,4.985325,0.000000,1.000000,0.000000,0.999996,25.298712,1.000000,2020-09-29 12:17:49,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,306.000000,1601381869.000000,0.000000,1.000000,FHSS,211.000000,2440000000.000000,1601391914062667.000000,1601392370094848.000000,49.100000,1.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,4133,51.520748,5.861693,40.000000,0.000000,4.360000,292.600000,40.100000,40.100000,17.280000,991.140000,413273,2020-09-29 14:17:49.921,18,0,0,11.677000,51.519506,5.857977,-2.300000,-3.700000,0.000000,-3.700000,6.900000,171.300000,0,1,0,73,100,-7184,2737,11677,3041.500000,8,WP,1,0,0,0,0,0,0,1601381869920,3906,3906,3897,0,0,0,13,0,0,0,0,0,0.000000,0,0,0,37.000000,69.000000,1713.000000,-87.000000,0.000000,1730.000000,14,400.000000,43.570000,2925.970000,-23.000000,-37.000000,0.000000,0,0.000000,0.000000,100,100,0,1,0,0,0,1,0,0,0,0,0,0.000000,0.000000,0
299,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2020-09-29 12:19:03,1.000000,16.500000,16.500000,1601381943.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,51.520323,5.864869,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.760745,2.935296,15.000000,-77.808815,0.000000,1.963495,1.178097,0.000000,0.500000,0.500000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,388.000000,1601381943.000000,0.000000,1.000000,FHSS,206.000000,2440000000.000000,1601370481734079.000000,1601392445140886.000000,161.300000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,4873,51.519207,5.857571,40.100000,0.000000,4.440000,43.640000,40.100000,40.100000,17.280000,991.140000,487275,2020-09-29 14:19:03.922,18,0,0,11.656000,51.519506,5.857977,-2.300000,-3.800000,0.000000,-0.900000,9.600000,140.100000,0,1,0,69,100,-7306,2570,11656,3061.500000,8,WP,1,0,0,0,0,0,0,1601381943922,3874,3873,3861,0,0,0,13,0,0,0,0,0,0.000000,0,0,0,9.000000,96.000000,1401.000000,-87.000000,0.000000,1417.000000,14,401.000000,44.420000,436.370000,-23.000000,-38.000000,0.000000,0,0.000000,0.000000,100,100,0,1,0,0,0,1,0,0,0,0,0,0.000000,0.000000,0
58,332.000000,51.520506,5.861390,25.124895,244.091873,0.000000,4.514205,1.000000,0.000000,0.000000,0.999998,24.956536,1.000000,2020-09-29 12:17:57,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,297.000000,1601381877.000000,738063.600000,51.519137,5.857951,31.000000,3.000000,0.000000,16.127661,81.983071,278.000000,0.181967,2.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4213,51.520580,5.861250,39.900000,0.000000,4.440000,256.670000,40.100000,40.100000,17.280000,991.140000,421280,2020-09-29 14:17:57.927,18,0,0,11.846000,51.519506,5.857977,-2.300000,-3.800000,0.000000,-1.900000,7.600000,168.000000,0,1,0,73,100,-7414,2722,11846,3041.500000,8,WP,1,0,0,0,0,0,0,1601381877927,3907,3907,3898,0,0,0,13,0,0,0,0,0,0.000000,0,0,0,19.000000,76.000000,1680.000000,-87.000000,0.000000,1695.000000,14,399.000000,44.420000,2566.680000,-23.000000,-38.000000,0.000000,0,0.000000,0.000000,100,100,0,1,0,0,0,1,0,0,0,0,0,0.000000,0.000000,0
