,Unnamed: 0_x_x,AlviraTracksTrackPosition_Latitude,AlviraTracksTrackPosition_Longitude,AlviraTracksTrackPosition_Altitude,AlviraTracksTrackVelocity_Azimuth,AlviraTracksTrackVelocity_Elevation,AlviraTracksTrackVelocity_Speed,DRONE,NO_DRONE,SUSPECTED_DRONE,AlviraTracksTrack_Score,AlviraTracksTrack_Reflection,LABEL,datetime(utc),Unnamed: 0_y_x,Unnamed: 0.1_x,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,total in seconds,channels,ArcusPotentialDronPlot_id,ArcusPotentialDronPlot_rcs,ArcusPotentiaDronPlotPlotPosition_altitude,ArcusPotentialDronPlotsPlotPosition_latitude,ArcusPotentialDronPlotsPlotPosition_longitude,ArcusTracksTrack_id,ArcusTracksTrackPosition_Latitude,ArcusTracksTrackPosition_Longitude,ArcusTracksTrackPosition_Altitude,ArcusTracksTrackVelocity_Azimuth,ArcusTracksTrackVelocity_Elevation,ArcusTracksTrackVelocity_Speed,ArcusTracksTrack_Reflection,ArcusTracksTrack_Score,ArcusSystemStatusSensorPosition_Latitude,ArcusSystemStatusSensorPosition_Longitude,ArcusSystemStatusSensorPosition_Altitude,ArcusSystemStatusSensorStatusOrientetation_Azimuth,ArcusSystemStatusSensorStatusOrientetation_Elevation,ArcusSystemStatusSensorStatusBlankSector_Angle,ArcusSystemStatusSensorStatusBlankSector_Span,ArcusSystemStatusSensorStatusProcessing_Sensitivity,Arcus_OperationalState_NaN,Arcus_OperationalState_Idle,Arcus_OperationalState_Operational,Arcus_Classification_NaN,Arcus_Classification_UNKNOWN,Arcus_Classification_VEHICLE,Arcus_Classification_OTHER,Arcus_Classification_DRONE,Arcus_Classification_SUSPECTED_DRONE,Arcus_Classification_HELICOPTER,Arcus_Alarm_NaN,Arcus_Alarm_FALSE,Arcus_Alarm_TRUE,Unnamed: 0_x_y,total in seconds_x,Diana_time,DianaSensorPosition_latitude_deg,DianaSensorPosition_longitude_deg,DianaSensorPosition_altitude_m,DianaTargets_band,DianaTarget_ID,DianaTargetsTargetSignal_snr_dB,DianaTargetsTargetSignal_bearing_deg,DianaTargetsTargetSignal_range_m,DianaTargetsTargetClassification_score,channels_x,DianaTarget_Aircraft,DianaTarget_Controller,DianaTarget_None,DianaClasssification_Unknown,DianaClasssification_DJI-MAVIC-PRO-PLATINUM,DianaClasssification_Wifi-Bluetooth,DianaClasssification_DJI-MAVIC-2-PRO,DianaClasssification_DJI-Phantom-4F,DianaClasssification_Parrot-ANAFI,DianaClasssification_DJI-Phantom-4E,DianaClasssification_SPEKTRUM-DX5e,DianaClasssification_SYMA-X8HW,DianaClasssification_DJI-MAVIC-AIR,DianaClasssification_None,DianaClasssification_VISUO-Zen,Unnamed: 0_y_y,total in seconds_y,channels_y,VenusTriggerVenusName_isThreat,VenusTriggerLinkType_Uplink,VenusTrigger_RadioId,VenusTrigger_Frequency,VenusTrigger_OnAirStartTime,VenusTrigger_StopTime,VenusTrigger_Azimuth,VenusTrigger_Deviation,DJI OcuSync,DJI Mavic Mini,Cheerson Leopard 2,DJI Mavic Pro long,nan,DJI Mavic Pro short,Hubsan,Futaba FASST-7CH Var. 1,"AscTec Falcon 8 Downlink, DJI Mavic Mini",DJI Phantom 4 Pro+ V2.0 / Mavic Pro V2.0 2.4G,"DJI Mavic Mini, MJX R/C Technic",Udi R/C 818A,MJX R/C Technic,TT Robotix Ghost,Udi R/C,"DJI Mini, DJI Phantom 4 Pro/Mavic Pro, DJI Phantom 4/Mavic Pro","DJI Mavic Pro long, DJI Phantom 4 Pro+ V2.0 / Mavic Pro V2.0 2.4G",Spektrum DSMX downlink,Spektrum DSMX 12CH uplink,MJX X901,"DJI Mavic Pro long, DJI Phantom 4/Mavic Pro,DJI Phantom/Mavic Pro",AscTec Falcon 8 Downlink,VenusName NaN,ISM 2.4 GHz,ISM 5.8 GHz,FreqBand_Null,Unnamed: 0,Unnamed: 0.1_y,time(millisecond),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,gimbal_heading(degrees),gimbal_pitch(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message,datetime(local),altitude(m)
180,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2020-09-29 12:07:12,107.000000,107.000000,107.000000,107.000000,107.000000,107.000000,107.000000,107.000000,107.000000,107.000000,107.000000,107.000000,107.000000,107.000000,107.000000,107.000000,107.000000,107.000000,107.000000,107.000000,107.000000,107.000000,107.000000,107.000000,107.000000,107.000000,107.000000,107.000000,107.000000,84594.500000,84594.500000,1601381232.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,51.522077,5.868495,88.347362,141.458311,-2.520402,9.913174,-30.823334,0.477935,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.014286,0.557143,0.000000,0.428571,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,274.000000,1601381232.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.961127,26.428742,504.000000,0.227049,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3486,3484,520663,51.518750,5.856415,127.306435,119.202760,90.518376,225.848597,0,35.079246,582.381908,14,0,0,279.444400,180.902237,36.483149,4866.765248,-2.684328,0.000000,2.236940,189.100000,-32.300000,-4.700000,0,0,1024,1024,1024,1024,0,0,36,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,32,225.848597,127.306435,6,P-GPS,0.000000,2020-09-29 14:07:12,68.838653
157,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2020-09-29 12:04:51,75.000000,75.000000,75.000000,75.000000,75.000000,75.000000,75.000000,75.000000,75.000000,75.000000,75.000000,75.000000,75.000000,75.000000,75.000000,75.000000,75.000000,75.000000,75.000000,75.000000,75.000000,75.000000,75.000000,75.000000,75.000000,75.000000,75.000000,75.000000,75.000000,61611.000000,61611.000000,1601381091.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,51.522054,5.868553,97.906075,130.941916,-2.361501,9.152939,-30.563134,0.458877,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.011299,0.615819,0.000000,0.372881,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,196.000000,1601381091.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.129949,8.322538,622.000000,0.433333,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2530,2527,380093,51.514016,5.844281,170.912079,162.611554,90.715226,269.454242,0,21.404518,3832.775713,15,0,0,279.444400,180.902237,35.248806,3832.775713,-1.118470,-1.789552,0.223694,240.500000,-1.100000,3.500000,0,0,1024,1024,1024,1024,0,0,55,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,32,269.454242,170.912079,6,P-GPS,0.000000,2020-09-29 14:04:51,82.129653
141,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2020-09-29 12:03:09,52.000000,52.000000,52.000000,52.000000,52.000000,52.000000,52.000000,52.000000,52.000000,52.000000,52.000000,52.000000,52.000000,52.000000,52.000000,52.000000,52.000000,52.000000,52.000000,52.000000,52.000000,52.000000,52.000000,52.000000,52.000000,52.000000,52.000000,52.000000,52.000000,43467.500000,43467.500000,1601380989.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,51.522029,5.868262,91.683169,160.544047,-4.099651,9.660335,-29.054977,0.514703,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.010870,0.510870,0.000000,0.478261,0.000000,0.000000,0.000000,0.994565,0.000000,0.000000,146.000000,1601380989.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.506619,101.894292,421.000000,0.200000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1844,1844,278425,51.518192,5.855851,172.155517,165.790688,88.779530,270.697680,0,17.792643,810.715249,17,0,0,279.444400,180.902237,35.248806,3788.517182,-0.894776,-1.565858,0.000000,243.000000,-1.800000,2.100000,0,0,1024,1024,1024,1024,0,0,64,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,32,270.697680,172.155517,6,P-GPS,0.000000,2020-09-29 14:03:09,82.508653
21,129.000000,51.520529,5.862907,34.653419,246.953156,0.000000,8.596056,1.000000,0.000000,0.000000,0.999977,25.716782,0.000000,2020-09-29 12:02:09,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,108.000000,1601380929.000000,738063.600000,51.519137,5.857951,31.000000,2.000000,11001.000000,13.283474,34.896429,385.000000,0.566667,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1451,1449,218044,51.520614,5.862618,171.830714,155.393706,98.851709,270.372877,0,21.883984,996.351738,16,0,0,275.313822,176.771659,35.248806,3788.517182,-1.118470,-2.013246,0.000000,243.100000,-0.200000,4.300000,0,0,1024,1024,1024,1024,0,0,72,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,32,270.372877,171.830714,6,P-GPS,0.000000,2020-09-29 14:02:09,82.409653
8,116.000000,51.521130,5.864771,46.059790,246.366821,0.000000,8.813264,1.000000,0.000000,0.000000,0.999707,26.004473,0.000000,2020-09-29 12:01:52,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,49.000000,1601380912.000000,0.000000,0.000000,FHSS,186.000000,2440000000.000000,1601390540422472.000000,1601391413583808.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1338,1332,200553,51.521304,5.864601,170.167328,160.423233,92.158796,268.709491,0,20.773522,1507.447555,16,0,0,275.313822,176.771659,35.248806,3788.517182,-0.894776,-1.789552,0.000000,246.500000,-0.200000,2.200000,0,0,1024,1024,1024,1024,0,0,75,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,32,268.709491,170.167328,6,P-GPS,0.000000,2020-09-29 14:01:52,81.902653
94,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2020-09-29 11:58:33,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,446.000000,446.000000,1601380713.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,51.522128,5.868345,83.598430,140.804896,-3.692309,9.536805,-30.305356,0.492763,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.011173,0.536313,0.016760,0.435754,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1601380713.000000,738063.600000,51.519137,5.857951,31.000000,2.000000,1.000000,15.125144,81.145512,312.000000,0.333333,1.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,22,18,2092,51.519706,5.858483,2.250656,2.447507,82.217850,100.792819,0,1.880361,5.809515,14,0,0,100.792819,2.250656,2.585679,5.809515,0.000000,-0.223694,0.000000,39.200000,-1.400000,-15.100000,0,0,1024,1024,1024,1024,0,0,93,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,32,100.792819,2.250656,6,P-GPS,0.000000,2020-09-29 13:58:33,30.721651
15,122.000000,51.520799,5.863832,40.116156,242.163712,0.000000,9.681985,1.000000,0.000000,0.000000,0.999923,26.031448,0.000000,2020-09-29 12:02:00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,102.000000,1601380920.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.866719,18.194629,719.000000,0.300000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1391,1391,209411,51.520936,5.863547,170.908798,158.244756,95.078743,269.450961,0,21.477264,1235.164082,16,0,0,275.313822,176.771659,35.248806,3788.517182,-1.118470,-1.789552,0.000000,242.700000,-0.600000,3.000000,0,0,1024,1024,1024,1024,0,0,73,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,32,269.450961,170.908798,6,P-GPS,0.000000,2020-09-29 14:02:00,82.128653
24,130.000000,51.520414,5.862575,32.982683,243.820969,0.000000,9.490927,0.000000,1.000000,0.000000,0.984216,25.639939,0.000000,2020-09-29 12:02:11,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,111.000000,1601380931.000000,738063.600000,51.519137,5.857951,31.000000,3.000000,0.000000,11.700159,33.343077,462.000000,0.191965,2.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,53.000000,1601380931.000000,0.000000,0.000000,FHSS,186.000000,2440000000.000000,1601390540422472.000000,1601391433350390.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1465,1461,219991,51.520526,5.862368,174.084651,159.452105,97.047247,272.626814,0,21.557055,932.132576,16,0,0,275.313822,176.771659,35.248806,3788.517182,-1.118470,-1.789552,-0.223694,244.800000,-2.200000,2.100000,0,0,1024,1024,1024,1024,0,0,71,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,32,272.626814,174.084651,6,P-GPS,0.000000,2020-09-29 14:02:11,83.096653
184,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2020-09-29 12:08:12,120.000000,120.000000,120.000000,120.000000,120.000000,120.000000,120.000000,120.000000,120.000000,120.000000,120.000000,120.000000,120.000000,120.000000,120.000000,120.000000,120.000000,120.000000,120.000000,120.000000,120.000000,120.000000,120.000000,120.000000,120.000000,120.000000,120.000000,120.000000,120.000000,93298.000000,93298.000000,1601381292.000000,0.000000,3292.271523,-0.026025,1.834244,-0.000706,1.130875,0.000000,51.521980,5.868631,77.998387,178.854648,-4.396810,11.643484,-30.373138,0.470902,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.013245,0.543046,0.006623,0.430464,0.000000,0.006623,0.000000,0.993377,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,127.000000,1601381292.000000,0.000000,1.000000,FHSS,191.000000,2440000000.000000,1601370481734079.000000,1601391793500488.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,3899,3906,581460,51.519320,5.859469,95.121394,89.281499,88.254596,193.663557,0,44.813737,260.632226,15,0,0,279.444400,180.902237,45.562889,4866.765248,-0.447388,4.250186,-1.342164,106.900000,19.800000,-44.900000,0,0,1024,1024,1024,1024,0,0,23,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,32,193.663557,95.121394,6,P-GPS,0.000000,2020-09-29 14:08:12,59.028652
99,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2020-09-29 11:59:03,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6.000000,6063.500000,6063.500000,1601380743.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,51.522062,5.868596,95.851212,152.142367,-1.634532,10.339105,-29.703602,0.447703,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.009615,0.600962,0.004808,0.384615,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,14.000000,1601380743.000000,738063.600000,51.519137,5.857951,31.000000,3.000000,1.000000,15.280192,80.411648,306.000000,0.241113,2.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,233,229,32084,51.520438,5.860079,159.931107,148.579401,93.766407,258.473270,0,34.177088,452.650933,15,0,0,268.630751,170.088588,35.248806,452.650933,1.565858,2.908022,0.000000,61.400000,7.700000,-2.900000,0,0,1024,1024,1024,1024,0,0,81,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,32,258.473270,159.931107,6,P-GPS,0.000000,2020-09-29 13:59:03,78.782653
