,total in seconds,datetime(utc),Diana_time,DianaSensorPosition_latitude_deg,DianaSensorPosition_longitude_deg,DianaSensorPosition_altitude_m,DianaTargets_band,DianaTarget_ID,DianaTargetsTargetSignal_snr_dB,DianaTargetsTargetSignal_bearing_deg,DianaTargetsTargetSignal_range_m,DianaTargetsTargetClassification_score,channels,DianaTarget_Aircraft,DianaTarget_Controller,DianaTarget_None,DianaClasssification_Unknown,DianaClasssification_DJI-MAVIC-PRO-PLATINUM,DianaClasssification_Wifi-Bluetooth,DianaClasssification_DJI-MAVIC-2-PRO,DianaClasssification_DJI-Phantom-4F,DianaClasssification_Parrot-ANAFI,DianaClasssification_DJI-Phantom-4E,DianaClasssification_SPEKTRUM-DX5e,DianaClasssification_SYMA-X8HW,DianaClasssification_DJI-MAVIC-AIR,DianaClasssification_None,DianaClasssification_VISUO-Zen
0,1601387720,2020-09-29 13:55:20,738063.7,51.519137,5.857951,31.0,1.0,0.0,34.699002,78.54721500000002,32.0,0.333333,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1601387720,2020-09-29 13:55:20,0.0,0.0,0.0,0.0,0.0,0.0,32.228484,78.54721500000002,43.0,0.332789,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2,1601387720,2020-09-29 13:55:20,0.0,0.0,0.0,0.0,0.0,0.0,32.160677,78.54721500000002,43.0,0.32834,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3,1601387726,2020-09-29 13:55:26,0.0,0.0,0.0,0.0,0.0,0.0,22.60029,10.789243,131.0,0.366667,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
4,1601387726,2020-09-29 13:55:26,0.0,0.0,0.0,0.0,0.0,0.0,15.896975,10.789243,285.0,0.245771,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
5,1601387726,2020-09-29 13:55:26,738063.7,51.519137,5.857951,31.0,3.0,0.0,32.814174,10.789243,40.0,0.4,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
6,1601387729,2020-09-29 13:55:29,738063.7,51.519137,5.857951,31.0,1.0,20000.0,20.67715,91.446414,164.0,0.766667,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
7,1601387729,2020-09-29 13:55:29,0.0,0.0,0.0,0.0,0.0,0.0,13.584398,91.446414,372.0,0.320785,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
8,1601387729,2020-09-29 13:55:29,0.0,0.0,0.0,0.0,0.0,0.0,13.293244,91.446414,385.0,0.2485679999999999,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
9,1601387732,2020-09-29 13:55:32,738063.7,51.519137,5.857951,31.0,2.0,1001.0,35.557678,13.451068,29.0,0.733333,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,1601387732,2020-09-29 13:55:32,0.0,0.0,0.0,0.0,0.0,0.0,21.945243,13.451068,142.0,0.333333,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
