,total in seconds,datetime(utc),channels,VenusTriggerVenusName_isThreat,VenusTriggerLinkType_Uplink,VenusTrigger_RadioId,VenusTrigger_Frequency,VenusTrigger_OnAirStartTime,VenusTrigger_StopTime,VenusTrigger_Azimuth,VenusTrigger_Deviation,DJI OcuSync,DJI Mavic Mini,Cheerson Leopard 2,DJI Mavic Pro long,nan,DJI Mavic Pro short,Hubsan,Futaba FASST-7CH Var. 1,"AscTec Falcon 8 Downlink, DJI Mavic Mini",DJI Phantom 4 Pro+ V2.0 / Mavic Pro V2.0 2.4G,"DJI Mavic Mini, MJX R/C Technic",Udi R/C 818A,MJX R/C Technic,TT Robotix Ghost,Udi R/C,"DJI Mini, DJI Phantom 4 Pro/Mavic Pro, DJI Phantom 4/Mavic Pro","DJI Mavic Pro long, DJI Phantom 4 Pro+ V2.0 / Mavic Pro V2.0 2.4G",Spektrum DSMX downlink,Spektrum DSMX 12CH uplink,MJX X901,"DJI Mavic Pro long, DJI Phantom 4/Mavic Pro,DJI Phantom/Mavic Pro",AscTec Falcon 8 Downlink,VenusName NaN,ISM 2.4 GHz,ISM 5.8 GHz,FreqBand_Null
0,1601387719,2020-09-29 13:55:19,0.0,0.0,FHSS,363,2440000000.0,1601395891057011.0,1601398221484302.0,146.3,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,0,0
1,1601387719,2020-09-29 13:55:19,0.0,1.0,FHSS,346,2440000000.0,1601370481734079.0,1601398221482234.0,146.2,0.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0
2,1601387720,2020-09-29 13:55:20,0.0,1.0,0,281474977710676,2416500000.0,1601398182191740.0,1601398224115511.0,120.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0
3,1601387720,2020-09-29 13:55:20,0.0,0.0,FHSS,363,2440000000.0,1601395891057011.0,1601398222469754.0,145.3,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,0,0
4,1601387720,2020-09-29 13:55:20,0.0,1.0,0,281474977710675,2446500000.0,1601398154006930.0,1601398224045511.0,112.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0
5,1601387722,2020-09-29 13:55:22,0.0,0.0,FHSS,363,2440000000.0,1601395891057011.0,1601398223617130.0,140.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,0,0
6,1601387722,2020-09-29 13:55:22,0.0,1.0,FHSS,346,2440000000.0,1601370481734079.0,1601398223476211.0,142.8,2.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0
7,1601387722,2020-09-29 13:55:22,0.0,1.0,FHSS,346,2440000000.0,1601370481734079.0,1601398223665699.0,140.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0
8,1601387722,2020-09-29 13:55:22,0.0,1.0,FHSS,348,2440000000.0,1601395367313144.0,1601398224009126.0,115.7,4.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0
9,1601387725,2020-09-29 13:55:25,0.0,1.0,0,281474977710675,2446500000.0,1601398154006930.0,1601398228750236.0,112.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0
10,1601387730,2020-09-29 13:55:30,0.0,1.0,0,281474977710675,2446500000.0,1601398154006930.0,1601398234070932.0,119.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0
11,1601387730,2020-09-29 13:55:30,0.0,1.0,FHSS,348,2440000000.0,1601395367313144.0,1601398228729130.0,110.4,1.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0
12,1601387731,2020-09-29 13:55:31,0.0,1.0,FHSS,346,2440000000.0,1601370481734079.0,1601398229510439.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0
