,latitude,longitude,altitude(m),ultrasonicHeight(m),speed(mps),distance(m),max_altitude(m),max_ascent(m),max_speed(mps),max_distance(m),time(millisecond),datetime(utc),datetime(local),satellites,pressure(Pa),temperature(F),voltage(v),home_latitude,home_longitude,velocityX(mps),velocityY(mps),velocityZ(mps),pitch(deg),roll(deg),yaw(deg),powerlevel,isflying,istakingphoto,remainPowerPercent,remainLifePercent,currentCurrent,currentElectricity,currentVoltage,batteryTemperature,dischargeCount,flightmode,isMotorsOn,isTakingVideo,Rc_elevator,Rc_aileron,Rc_throttle,Rc_rudder,Rc_gyro,timestamp,Battery_Cell1,Battery_Cell2,Battery_Cell3,Battery_Cell4,Battery_Cell5,Battery_Cell6,Dronetype,AppVersion,Planename,FlyControllerSerialNumber,RemoteSerialNumber,BatterySerialNumber,CENTER_BATTERY.productDate,CENTER_BATTERY.serialNo,CENTER_BATTERY.fullCapacity,CENTER_BATTERY.productDateRaw,pitchRaw,rollRaw,yawRaw,gimbalPitchRaw,gimbalRollRaw,gimbalYawRaw,flyState,altitudeRaw,speedRaw,distanceRaw,velocityXRaw,velocityYRaw,velocityZRaw,data_reuse,App_Tip,App_Warning,downlinkSignalQuality,uplinkSignalQuality,transmissionChannel,rcModeSwitch,rcHome,rcPause,rcTransform,rcJoystickMode,appMode,FlyControllerSerialNumber_legacy,RemoteSerialNumber_legacy,BatterySerialNumber_legacy,Battery2SerialNumber,frontAvoidDist,backAvoidDist,isBrakingToAvoid
0,51.519522,5.858087,0.2,0.0,2.6,0.12,0.2,0.2,2.6,0.12,0,2020-09-29 13:18:15,2020-09-29 15:18:15.125,19,0,0,12.713,51.519521,5.858086,0.0,0.0,-2.6,-1.5,1.7,157.4,0,1,0,97,100,-3836,3677,12713,2961.5,7,GPS,1,0,0,0,660,0,0,1601385495124,4229,4225,4224,0,0,0,13,Litchi_iOS_2.8.0,aladrian-MAVIC PRO,08RDEAJP01043R,08XUEB30061XN3,093AEB303309LC,,0,3760,0,15.0,17.0,1574.0,0.0,0.0,1581.0,6,2.0,26.0,1.24,0.0,0.0,-26.0,0,,,100,100,0,1,0,0,0,0,0,(null),(null),(null),(null),0.0,0.0,0
1,51.519522,5.858087,0.4,0.0,2.7,0.14,0.4,0.4,2.7,0.14,116,2020-09-29 13:18:15,2020-09-29 15:18:15.240,19,0,0,12.713,51.519521,5.858086,0.0,0.0,-2.7,-0.2,1.8,157.4,0,1,0,97,100,-3836,3677,12713,2961.5,7,GPS,1,0,0,0,660,0,0,1601385495240,4229,4225,4224,0,0,0,13,,,,,,,0,0,0,2.0,18.0,1574.0,0.0,0.0,1581.0,6,4.0,27.0,1.37,0.0,0.0,-27.0,0,,,100,100,0,1,0,0,0,0,0,,,,,0.0,0.0,0
2,51.519522,5.858087,0.7,1.5,3.1,0.15,0.7,0.7,3.1,0.15,213,2020-09-29 13:18:15,2020-09-29 15:18:15.338,19,0,0,12.713,51.519521,5.858086,0.0,0.0,-3.1,-0.1,1.5,157.6,0,1,0,97,100,-3836,3677,12713,2961.5,7,GPS,1,0,0,0,660,0,0,1601385495337,4229,4225,4224,0,0,0,13,,,,,,,0,0,0,1.0,15.0,1576.0,0.0,0.0,1581.0,6,7.0,31.0,1.49,0.0,0.0,-31.0,0,,,100,100,0,1,0,0,0,0,0,,,,,0.0,0.0,0
3,51.519522,5.858087,1.1,1.9,3.5,0.16,1.1,1.1,3.5,0.16,298,2020-09-29 13:18:15,2020-09-29 15:18:15.422,18,0,0,12.713,51.519521,5.858086,0.0,0.0,-3.5,-0.6,2.0,157.6,0,1,0,97,100,-3836,3677,12713,2961.5,7,GPS,1,0,0,0,660,0,0,1601385495422,4229,4225,4224,0,0,0,13,,,,,,,0,0,0,6.0,20.0,1576.0,0.0,0.0,1581.0,6,11.0,35.0,1.57,0.0,0.0,-35.0,0,,,100,100,0,1,0,0,0,0,0,,,,,0.0,0.0,0
4,51.519522,5.858087,1.4,2.3,3.8,0.17,1.4,1.4,3.8,0.17,416,2020-09-29 13:18:15,2020-09-29 15:18:15.540,18,0,0,12.713,51.519521,5.858086,0.1,0.0,-3.8,-1.4,1.6,157.7,0,1,0,97,100,-3836,3677,12713,2961.5,7,GPS,1,0,0,0,660,0,0,1601385495540,4229,4225,4224,0,0,0,13,,,,,,,0,0,0,14.0,16.0,1577.0,0.0,0.0,1581.0,6,14.0,38.01,1.65,1.0,0.0,-38.0,0,,,100,100,0,1,0,0,0,0,0,,,,,0.0,0.0,0
5,51.519522,5.858087,1.8,2.7,4.0,0.17,1.8,1.8,4.0,0.17,502,2020-09-29 13:18:15,2020-09-29 15:18:15.626,19,0,0,12.713,51.519521,5.858086,0.1,0.0,-4.0,-1.7,1.1,157.8,0,1,0,97,100,-3836,3677,12713,2961.5,7,GPS,1,0,0,0,660,0,0,1601385495626,4229,4225,4224,0,0,0,13,,,,,,,0,0,0,17.0,11.0,1578.0,0.0,0.0,1581.0,6,18.0,40.01,1.71,1.0,0.0,-40.0,0,,,100,100,0,1,0,0,0,0,0,,,,,0.0,0.0,0
6,51.519522,5.858087,2.3,3.1,4.1,0.18,2.3,2.3,4.1,0.18,590,2020-09-29 13:18:15,2020-09-29 15:18:15.715,19,0,0,12.713,51.519521,5.858086,0.1,0.0,-4.1,-2.5,1.0,157.9,0,1,0,97,100,-3836,3677,12713,2961.5,7,GPS,1,0,0,0,660,0,0,1601385495714,4229,4225,4224,0,0,0,13,,,,,,,0,0,0,25.0,10.0,1579.0,0.0,0.0,1581.0,6,23.0,41.01,1.8,1.0,0.0,-41.0,0,,,100,100,0,1,0,0,0,0,0,,,,,0.0,0.0,0
7,51.519523,5.858087,2.7,3.5,4.1,0.2,2.7,2.7,4.1,0.2,701,2020-09-29 13:18:15,2020-09-29 15:18:15.825,19,0,0,12.713,51.519521,5.858086,0.0,0.0,-4.1,-2.6,1.2,157.9,0,1,0,97,100,-3836,3677,12713,2961.5,7,GPS,1,0,0,0,660,0,0,1601385495825,4229,4225,4224,0,0,0,13,,,,,,,0,0,0,26.0,12.0,1579.0,0.0,0.0,1581.0,6,27.0,41.0,2.0,0.0,0.0,-41.0,0,,,100,100,0,1,0,0,0,0,0,,,,,0.0,0.0,0
8,51.519523,5.858087,3.1,3.9,4.1,0.22,3.1,3.1,4.1,0.22,791,2020-09-29 13:18:15,2020-09-29 15:18:15.915,19,0,0,12.713,51.519521,5.858086,0.0,0.0,-4.1,-2.7,1.4,157.9,0,1,0,97,100,-3836,3677,12713,2961.5,7,GPS,1,0,0,0,0,0,0,1601385495915,4229,4225,4224,0,0,0,13,,,,,,,0,0,0,27.0,14.0,1579.0,0.0,0.0,1581.0,6,31.0,41.0,2.19,0.0,0.0,-41.0,0,,,100,100,0,1,0,0,0,0,0,,,,,0.0,0.0,0
9,51.519523,5.858087,3.5,4.4,4.0,0.24,3.5,3.5,4.1,0.24,900,2020-09-29 13:18:16,2020-09-29 15:18:16.025,18,0,0,12.713,51.519521,5.858086,0.0,0.0,-4.0,-2.9,1.8,158.1,0,1,0,97,100,-3836,3677,12713,2961.5,7,GPS,1,0,0,0,0,0,0,1601385496024,4229,4225,4224,0,0,0,13,,,,,,,0,0,0,29.0,18.0,1581.0,0.0,0.0,1581.0,6,35.0,40.0,2.35,0.0,0.0,-40.0,0,,,100,100,0,1,0,0,0,0,0,,,,,0.0,0.0,0
