,total in seconds,datetime(utc),Diana_time,DianaSensorPosition_latitude_deg,DianaSensorPosition_longitude_deg,DianaSensorPosition_altitude_m,DianaTargets_band,DianaTarget_ID,DianaTargetsTargetSignal_snr_dB,DianaTargetsTargetSignal_bearing_deg,DianaTargetsTargetSignal_range_m,DianaTargetsTargetClassification_score,channels,DianaTarget_Aircraft,DianaTarget_Controller,DianaTarget_None,DianaClasssification_Unknown,DianaClasssification_DJI-MAVIC-PRO-PLATINUM,DianaClasssification_Wifi-Bluetooth,DianaClasssification_DJI-MAVIC-2-PRO,DianaClasssification_DJI-Phantom-4F,DianaClasssification_Parrot-ANAFI,DianaClasssification_DJI-Phantom-4E,DianaClasssification_SPEKTRUM-DX5e,DianaClasssification_SYMA-X8HW,DianaClasssification_DJI-MAVIC-AIR,DianaClasssification_None,DianaClasssification_VISUO-Zen
0,1601380713,2020-09-29 11:58:33,738063.6,51.519137,5.857951,31.0,2.0,1.0,15.125144,81.145512,312.0,0.333333,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1601380713,2020-09-29 11:58:33,0.0,0.0,0.0,0.0,0.0,0.0,18.77631,81.145512,204.0,0.233713,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2,1601380713,2020-09-29 11:58:33,0.0,0.0,0.0,0.0,0.0,0.0,7.804950999999999,81.145512,724.0,0.2333329999999999,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3,1601380715,2020-09-29 11:58:35,738063.6,51.519137,5.857951,31.0,3.0,0.0,9.984961,115.253966,563.0,0.170476,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
4,1601380718,2020-09-29 11:58:38,738063.6,51.519137,5.857951,31.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1601380725,2020-09-29 11:58:45,0.0,0.0,0.0,0.0,0.0,0.0,8.22658,80.246889,690.0,0.0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
6,1601380725,2020-09-29 11:58:45,0.0,0.0,0.0,0.0,0.0,0.0,9.935596,80.246889,567.0,0.266667,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
7,1601380725,2020-09-29 11:58:45,738063.6,51.519137,5.857951,31.0,3.0,0.0,12.788904,80.246889,408.0,0.0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
8,1601380728,2020-09-29 11:58:48,738063.6,51.519137,5.857951,31.0,1.0,0.0,23.440388,13.330793,119.0,0.208467,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
9,1601380728,2020-09-29 11:58:48,0.0,0.0,0.0,0.0,0.0,0.0,10.019076,13.330793,561.0,0.170676,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
10,1601380730,2020-09-29 11:58:50,738063.6,51.519137,5.857951,31.0,2.0,11001.0,17.819156,2.138895,228.0,0.733333,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11,1601380733,2020-09-29 11:58:53,738063.6,51.519137,5.857951,31.0,3.0,0.0,15.833087,80.43739000000002,287.0,0.2125409999999999,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
12,1601380736,2020-09-29 11:58:56,738063.6,51.519137,5.857951,31.0,1.0,0.0,10.687125,19.592942,520.0,0.207865,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
13,1601380739,2020-09-29 11:58:59,738063.6,51.519137,5.857951,31.0,2.0,11001.0,17.300762,32.55073400000001,242.0,0.5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14,1601380743,2020-09-29 11:59:03,738063.6,51.519137,5.857951,31.0,3.0,1.0,15.280192,80.411648,306.0,0.241113,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,1601380743,2020-09-29 11:59:03,0.0,0.0,0.0,0.0,0.0,0.0,9.777152,80.411648,577.0,0.181176,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
16,1601380745,2020-09-29 11:59:05,738063.6,51.519137,5.857951,31.0,1.0,0.0,23.801772,15.19956,114.0,0.366667,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
17,1601380748,2020-09-29 11:59:08,738063.6,51.519137,5.857951,31.0,2.0,1.0,12.584348,48.052454,418.0,0.366667,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18,1601380752,2020-09-29 11:59:12,738063.6,51.519137,5.857951,31.0,3.0,1.0,16.455354,80.31773299999998,267.0,0.4,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
19,1601380752,2020-09-29 11:59:12,0.0,0.0,0.0,0.0,0.0,0.0,12.674938,80.31773299999998,413.0,0.181649,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
20,1601380752,2020-09-29 11:59:12,0.0,0.0,0.0,0.0,0.0,0.0,10.260666,80.31773299999998,546.0,0.0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
21,1601380755,2020-09-29 11:59:15,738063.6,51.519137,5.857951,31.0,1.0,0.0,12.24677,107.371857,434.0,0.307865,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
22,1601380755,2020-09-29 11:59:15,0.0,0.0,0.0,0.0,0.0,0.0,10.002832,107.371857,562.0,0.197621,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
23,1601380755,2020-09-29 11:59:15,0.0,0.0,0.0,0.0,0.0,0.0,7.610436999999999,107.371857,741.0,0.17589,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
24,1601380758,2020-09-29 11:59:18,738063.6,51.519137,5.857951,31.0,2.0,1.0,12.190539,57.21791700000001,437.0,0.333333,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
25,1601380758,2020-09-29 11:59:18,0.0,0.0,0.0,0.0,0.0,1.0,10.743945,57.21791700000001,516.0,0.333333,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
26,1601380760,2020-09-29 11:59:20,738063.6,51.519137,5.857951,31.0,3.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1601380764,2020-09-29 11:59:24,738063.6,51.519137,5.857951,31.0,1.0,0.0,15.2523,23.162679,307.0,0.208805,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
28,1601380764,2020-09-29 11:59:24,0.0,0.0,0.0,0.0,0.0,0.0,11.454895,23.162679,476.0,0.176033,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
29,1601380767,2020-09-29 11:59:27,738063.6,51.519137,5.857951,31.0,2.0,1.0,24.231449,87.722491,109.0,0.366667,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
30,1601380767,2020-09-29 11:59:27,0.0,0.0,0.0,0.0,0.0,0.0,8.308259,87.722491,684.0,0.366667,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
31,1601380770,2020-09-29 11:59:30,738063.6,51.519137,5.857951,31.0,3.0,0.0,9.561342,79.86958299999998,592.0,0.170739,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
32,1601380770,2020-09-29 11:59:30,0.0,0.0,0.0,0.0,0.0,0.0,9.246218,79.86958299999998,614.0,0.333333,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
33,1601380773,2020-09-29 11:59:33,738063.6,51.519137,5.857951,31.0,1.0,0.0,28.400788,29.646521000000003,67.0,0.266667,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
34,1601380773,2020-09-29 11:59:33,0.0,0.0,0.0,0.0,0.0,1.0,13.513799,29.646521000000003,375.0,0.366667,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
35,1601380773,2020-09-29 11:59:33,0.0,0.0,0.0,0.0,0.0,0.0,9.266763,29.646521000000003,612.0,0.3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
36,1601380776,2020-09-29 11:59:36,0.0,0.0,0.0,0.0,0.0,11000.0,7.716361,44.833556,732.0,0.566667,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
37,1601380776,2020-09-29 11:59:36,738063.6,51.519137,5.857951,31.0,2.0,11000.0,8.220657000000001,44.833556,691.0,0.533333,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
38,1601380776,2020-09-29 11:59:36,0.0,0.0,0.0,0.0,0.0,0.0,9.004068,44.833556,631.0,0.466667,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
39,1601380779,2020-09-29 11:59:39,738063.6,51.519137,5.857951,31.0,3.0,11001.0,31.503235,35.430418,47.0,0.6,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
40,1601380782,2020-09-29 11:59:42,738063.6,51.519137,5.857951,31.0,1.0,0.0,17.120881,26.465478000000004,248.0,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
41,1601380782,2020-09-29 11:59:42,0.0,0.0,0.0,0.0,0.0,0.0,15.292504,26.465478000000004,306.0,0.2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
