TrackDateTimeUTC,TrackID,TrackPositionLatitude,TrackPositionLongitude,TrackPositionAltitude,TrackPositionSpeed,TrackClassification,TrackIdentification,TrackSource
2020-09-30 12:44:16,0,51.520725,5.860887,54.972290,13.136002,UNKNOWN,UNKNOWN,Arcus
2020-09-30 12:44:16,0,51.520725,5.860887,54.972290,13.136002,UNKNOWN,UNKNOWN,Arcus
2020-09-30 12:44:16,0,51.520725,5.860887,54.972290,13.136002,UNKNOWN,UNKNOWN,Arcus
2020-09-30 12:44:16,0,51.520725,5.860887,54.972290,13.136002,UNKNOWN,UNKNOWN,Arcus
2020-09-30 12:44:16,0,51.520725,5.860887,54.972290,13.136002,UNKNOWN,UNKNOWN,Arcus
2020-09-30 12:44:16,0,51.520725,5.860887,54.972290,13.136002,UNKNOWN,UNKNOWN,Arcus
2020-09-30 12:44:16,0,51.520725,5.860887,54.972290,13.136002,UNKNOWN,UNKNOWN,Arcus
2020-09-30 12:44:17,2,51.519974,5.858796,52.001472,11.076279,Mavic Pro,DRONE,Arcus
2020-09-30 12:44:17,2,51.519974,5.858796,52.001472,11.076279,Mavic Pro,DRONE,Arcus
2020-09-30 12:44:17,2,51.519974,5.858796,52.001472,11.076279,Mavic Pro,DRONE,Arcus
2020-09-30 12:44:17,2,51.519974,5.858796,52.001472,11.076279,Mavic Pro,DRONE,Arcus
2020-09-30 12:44:17,2,51.519974,5.858796,52.001472,11.076279,Mavic Pro,DRONE,Arcus
2020-09-30 12:44:17,2,51.519974,5.858796,52.001472,11.076279,Mavic Pro,DRONE,Arcus
2020-09-30 12:44:17,2,51.519974,5.858796,52.001472,11.076279,Mavic Pro,DRONE,Arcus
2020-09-30 12:44:17,2,51.519974,5.858796,52.001472,11.076279,Mavic Pro,DRONE,Arcus
2020-09-30 12:44:17,2,51.519974,5.858796,52.001472,11.076279,Mavic Pro,DRONE,Arcus
2020-09-30 12:44:19,0,51.515169,5.847139,54.092637,11.082160,UNKNOWN,UNKNOWN,Arcus
2020-09-30 12:44:20,0,51.517072,5.851836,55.197061,15.458238,UNKNOWN,UNKNOWN,Arcus
2020-09-30 12:44:21,0,51.520725,5.860715,52.001472,10.861250,UNKNOWN,UNKNOWN,Arcus
2020-09-30 12:44:21,2,51.520725,5.860715,52.001472,10.861250,Mavic Pro,DRONE,Arcus
2020-09-30 12:44:21,2,51.520725,5.860715,52.001472,10.861250,Mavic Pro,DRONE,Arcus
2020-09-30 12:44:23,2,51.519974,5.858796,52.001472,11.076279,Mavic Pro,DRONE,Arcus
2020-09-30 12:44:23,2,51.519974,5.858796,52.001472,11.076279,Mavic Pro,DRONE,Arcus
2020-09-30 12:44:23,2,51.519974,5.858796,52.001472,11.076279,Mavic Pro,DRONE,Arcus
2020-09-30 12:44:23,2,51.519974,5.858796,52.001472,11.076279,Mavic Pro,DRONE,Arcus
2020-09-30 12:44:23,2,51.519974,5.858796,52.001472,11.076279,Mavic Pro,DRONE,Arcus
2020-09-30 12:44:24,0,51.519542,5.857787,50.633361,11.936016,UNKNOWN,UNKNOWN,Arcus
2020-09-30 12:44:24,0,51.519542,5.857787,50.633361,11.936016,UNKNOWN,UNKNOWN,Arcus
2020-09-30 12:44:24,0,51.519542,5.857787,50.633361,11.936016,UNKNOWN,UNKNOWN,Arcus
2020-09-30 12:44:24,0,51.519542,5.857787,50.633361,11.936016,UNKNOWN,UNKNOWN,Arcus
2020-09-30 12:44:24,0,51.519542,5.857787,50.633361,11.936016,UNKNOWN,UNKNOWN,Arcus
